scrape_time,page_date,page_hour,bay_id,bay_name,lat,lon,jellyfish_lab,jellyfish_lab2,jellyfish_icon,jellyfish_list
2023-06-25 07:23:01.605193,25/06/2023,09:00,0,Platja Gran,42.427199628058,3.1607680066534,Sense informació,_SENSE_INFORMACI_,icono_-32(46).png,[]
2023-06-25 07:23:06.620211,25/06/2023,09:00,3,Platja de Grifeu,42.381122572465,3.155852154311,Sense informació,_SENSE_INFORMACI_,icono_-32(46).png,[]
2023-06-25 07:23:08.224041,25/06/2023,09:00,4,Platja del Port,42.371389834866,3.1603341080741,Sense informació,_SENSE_INFORMACI_,icono_-32(46).png,[]
2023-06-25 07:23:13.528922,25/06/2023,09:00,7,Platja del Port de la Vall,42.343017800844,3.1860476518737,Sense informació,_SENSE_INFORMACI_,icono_-32(46).png,[]
2023-06-25 07:23:15.762822,25/06/2023,09:00,8,Platja del Port de la Selva,42.336064685865,3.2022324515734,Sense informació,_SENSE_INFORMACI_,icono_-32(46).png,[]
2023-06-25 07:23:20.648523,25/06/2023,09:00,11,Platja d'en Ros,42.284555920494,3.2877098066108,Sense informació,_SENSE_INFORMACI_,icono_-32(46).png,[]
2023-06-25 07:23:22.119673,25/06/2023,09:00,12,Platja Gran,42.288577711645,3.2783761325292,Sense informació,_SENSE_INFORMACI_,icono_-32(46).png,[]
2023-06-25 07:23:23.603235,25/06/2023,09:00,13,Platja es Llané Gran,42.284387572183,3.2755801750091,Sense informació,_SENSE_INFORMACI_,icono_-32(46).png,[]
2023-06-25 07:23:26.693540,25/06/2023,09:00,15,Platja de l'Almadrava,42.240751820077,3.2073699212645,Sense informació,_SENSE_INFORMACI_,icono_-32(46).png,[]
2023-06-25 07:23:28.189499,25/06/2023,09:00,16,Platja de Canyelles Petites,42.247093292781,3.1965417444188,Sense informació,_SENSE_INFORMACI_,icono_-32(46).png,[]
2023-06-25 07:23:29.598409,25/06/2023,09:00,17,Platja dels Palangrers,42.250548996256,3.1817995255545,Sense informació,_SENSE_INFORMACI_,icono_-32(46).png,[]
2023-06-25 07:23:31.809193,25/06/2023,09:00,18,Platja de la Punta,42.259434612085,3.1783333092279,Sense informació,_SENSE_INFORMACI_,icono_-32(46).png,[]
2023-06-25 07:23:34.128797,25/06/2023,09:00,20,Platja del Rastrell - Nova,42.264444593098,3.1707692709824,Sense informació,_SENSE_INFORMACI_,icono_-32(46).png,[]
2023-06-25 07:23:36.491217,25/06/2023,09:00,22,Platja de Santa Margarida  - Salatar,42.261253114072,3.1539925579586,Sense informació,_SENSE_INFORMACI_,icono_-32(46).png,[]
2023-06-25 07:23:38.040782,25/06/2023,09:00,23,Platja de la Rubina,42.251760933133,3.1395920353183,Sense informació,_SENSE_INFORMACI_,icono_-32(46).png,[]
2023-06-25 07:23:39.772050,25/06/2023,09:00,24,Platja d'Empuriabrava,42.237464998368,3.1266286044584,Sense informació,_SENSE_INFORMACI_,icono_-32(46).png,[]
2023-06-25 07:23:43.832224,25/06/2023,09:00,27,Platja  Can Sopa- la Gola,42.188837944827,3.1110541681406,Sense informació,_SENSE_INFORMACI_,icono_-32(46).png,[]
2023-06-25 07:23:48.732213,25/06/2023,09:00,32,Platja cal Cristià - Cortal de la Vila,42.162258112747,3.11307772045,Sense informació,_SENSE_INFORMACI_,icono_-32(46).png,[]
2023-06-25 07:23:50.119618,25/06/2023,09:00,33,Platja del Cortal de la Devesa,42.155599630417,3.1158256368126,Sense informació,_SENSE_INFORMACI_,icono_-32(46).png,[]
2023-06-25 07:23:52.228695,25/06/2023,09:00,35,Platja del Moll Grec,42.137970096999,3.1196657924795,Sense informació,_SENSE_INFORMACI_,icono_-32(46).png,[]
2023-06-25 07:23:53.652519,25/06/2023,09:00,36,Platja de les Muscleres,42.133824742521,3.121932809189,Sense informació,_SENSE_INFORMACI_,icono_-32(46).png,[]
2023-06-25 07:23:57.801515,25/06/2023,09:00,39,La Platja,42.12662468693,3.1335216908257,Sense informació,_SENSE_INFORMACI_,icono_-32(46).png,[]
2023-06-25 07:23:59.243554,25/06/2023,09:00,40,Platja de Riells,42.115414022008,3.1390867881384,Sense informació,_SENSE_INFORMACI_,icono_-32(46).png,[]
2023-06-25 07:24:00.597286,25/06/2023,09:00,41,Cala Montgó,42.107537981712,3.1691621950559,Sense informació,_SENSE_INFORMACI_,icono_-32(46).png,[]
2023-06-25 07:24:02.478719,25/06/2023,09:00,42,Platja de l'Estartit,42.040530061014,3.1969067525409,Sense informació,_SENSE_INFORMACI_,icono_-32(46).png,[]
2023-06-25 07:24:03.899232,25/06/2023,09:00,43,Platja de la Fonollera i Mas Pinell,42.012971643403,3.1958314021638,Sense informació,_SENSE_INFORMACI_,icono_-32(46).png,[]
2023-06-25 07:24:05.343125,25/06/2023,09:00,44,Platja del Grau,41.998447010977,3.1992642984294,Sense informació,_SENSE_INFORMACI_,icono_-32(46).png,[]
2023-06-25 07:24:06.834256,25/06/2023,09:00,45,Platja Gran,41.983150313938,3.2062663714709,Sense informació,_SENSE_INFORMACI_,icono_-32(46).png,[]
2023-06-25 07:24:08.347306,25/06/2023,09:00,46,Platja del Racó,41.980598649101,3.2078032308232,Sense informació,_SENSE_INFORMACI_,icono_-32(46).png,[]
2023-06-25 07:24:11.390116,25/06/2023,09:00,48,Platja de sa Riera,41.973054276372,3.2109650875895,Sense informació,_SENSE_INFORMACI_,icono_-32(46).png,[]
2023-06-25 07:24:12.802457,25/06/2023,09:00,49,Platja de sa Tuna,41.960300674631,3.2297840768147,Sense informació,_SENSE_INFORMACI_,icono_-32(46).png,[]
2023-06-25 07:24:15.849940,25/06/2023,09:00,51,Platja d'Aiguablava,41.933982188334,3.2162763587963,Sense informació,_SENSE_INFORMACI_,icono_-32(46).png,[]
2023-06-25 07:24:17.411817,25/06/2023,09:00,52,Platja de Tamariu,41.917695609444,3.2077799279301,Sense informació,_SENSE_INFORMACI_,icono_-32(46).png,[]
2023-06-25 07:24:19.039695,25/06/2023,09:00,53,Platja de Llafranc,41.893517976218,3.1942606254437,Sense informació,_SENSE_INFORMACI_,icono_-32(46).png,[]
2023-06-25 07:24:20.534890,25/06/2023,09:00,54,Platja del Canadell,41.888494636878,3.1873506913736,Sense informació,_SENSE_INFORMACI_,icono_-32(46).png,[]
2023-06-25 07:24:24.476515,25/06/2023,09:00,55,Platja de Port Bo,41.888273122042,3.1850960105222,Sense informació,_SENSE_INFORMACI_,icono_-32(46).png,[]
2023-06-25 07:24:29.998233,25/06/2023,09:00,59,Cala Estreta,41.865891137418,3.1735242128186,Sense informació,_SENSE_INFORMACI_,icono_-32(46).png,[]
2023-06-25 07:24:31.569110,25/06/2023,09:00,60,Platja de Castell,41.862484186982,3.1563454431433,Sense informació,_SENSE_INFORMACI_,icono_-32(46).png,[]
2023-06-25 07:24:33.150820,25/06/2023,09:00,61,Platja de la Fosca,41.856395441636,3.1425721730605,Sense informació,_SENSE_INFORMACI_,icono_-32(46).png,[]
2023-06-25 07:24:36.020779,25/06/2023,09:00,63,Platja del Morro del Vedell,41.848772644892,3.1376162876503,Sense informació,_SENSE_INFORMACI_,icono_-32(46).png,[]
2023-06-25 07:24:37.483884,25/06/2023,09:00,64,Platja Gran,41.848044307087,3.1204972116535,Sense informació,_SENSE_INFORMACI_,icono_-32(46).png,[]
2023-06-25 07:24:38.983760,01/12/2022,09:00,65,Platja d'es Monestrí,41.848634477964,3.1159087107782,Sense informació,_SENSE_INFORMACI_,icono_-32(46).png,[]
2023-06-25 07:24:40.580150,01/12/2022,09:00,66,Platja de Sant Antoni,41.846464863631,3.1054731235656,Sense informació,_SENSE_INFORMACI_,icono_-32(46).png,[]
2023-06-25 07:24:42.133962,01/12/2022,09:00,67,Platja de Torre Valentina,41.83955630846,3.0954648316799,Sense informació,_SENSE_INFORMACI_,icono_-32(46).png,[]
2023-06-25 07:24:43.487360,01/12/2022,09:00,68,Cala Cristus- Ses Torretes,41.831303444695,3.0873115224906,Sense informació,_SENSE_INFORMACI_,icono_-32(46).png,[]
2023-06-25 07:24:45.825857,25/06/2023,09:00,70,Cala Rovira,41.822017377494,3.0743907104439,Sense informació,_SENSE_INFORMACI_,icono_-32(46).png,[]
2023-06-25 07:24:47.575070,25/06/2023,09:00,71,Platja Gran,41.808475716066,3.0665619312071,Sense informació,_SENSE_INFORMACI_,icono_-32(46).png,[]
2023-06-25 07:24:48.966897,25/06/2023,09:00,72,Platja de sa Conca,41.798039659247,3.0611105254367,Sense informació,_SENSE_INFORMACI_,icono_-32(46).png,[]
2023-06-25 07:24:50.636021,25/06/2023,09:00,73,Platja de Sant Pol,41.790765992455,3.0531000902406,Sense informació,_SENSE_INFORMACI_,icono_-32(46).png,[]
